Area,Year,Age,Sex,Legally registered relationship status,Ethnic group,Value,Flags
"Manurewa Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",360,
"Papakura Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",20307,
"Papakura Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",7584,
"Papakura Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",3546,
"Papakura Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",4146,
"Papakura Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",423,
"Papakura Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",378,
"Franklin Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",40950,
"Franklin Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",5184,
"Franklin Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",1515,
"Franklin Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",2871,
"Franklin Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",174,
"Franklin Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",894,
"Thames-Coromandel District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",18642,
"Thames-Coromandel District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",2787,
"Thames-Coromandel District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",249,
"Thames-Coromandel District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",486,
"Thames-Coromandel District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",57,
"Thames-Coromandel District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",420,
